src,ref,hyp
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",周一，斯坦福大学医学院的科学家宣布，他们发明了一种可以将细胞按类型分类的新型诊断工具：一种可打印的微型芯片。这种芯片可以使用标准喷墨打印机制造，每片价格可能在一美分左右。,周一，斯坦福大学医学院的科学家宣布发明了一种新型诊断工具，能按细胞类型进行分类：一种可打印的微型芯片，可使用标准喷墨打印机制造，每片可能只需约一美分。
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",主要研究人员表示，这可以让低收入国家/地区的患者尽早发现癌症、肺结核、艾滋病和疟疾。在这些国家/地区，乳腺癌等疾病的生存率可能仅为富裕国家的一半。,专家表示这或许能为低收入国家的患者带来癌症、肺结核、艾滋和疟疾的早期诊断，而像乳腺癌这样的疾病在该地区的存活率可能只有富裕国家的一半。
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",当地时间上午 9:30 左右 (UTC 0230)，JAS 39C 鹰狮战斗机撞上跑道并发生爆炸，导致机场关闭，商业航班无法正常起降。,约上午9:30（0230 UTC）一架JAS 39C鹰狮战斗机在跑道坠毁并爆炸，导致机场关闭商业航班。
The pilot was identified as Squadron Leader Dilokrit Pattavee.,涉事飞行员是空军中队长迪罗里·帕塔维 (Dilokrit Pattavee)。,飞行员被确认为迪洛克里特·帕塔维上校。
Local media reports an airport fire vehicle rolled over while responding.,当地媒体报道，一辆机场消防车在响应火警时翻了车。,当地媒体报道一架机场消防车在出警时翻车。
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",三个赛季前，28岁的比达尔（Vidal）从塞维利亚队加盟巴萨。,28岁的维达三年前从塞维利亚加盟巴萨。
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",自从转会到加泰罗尼亚的首府球队，维达尔已经为俱乐部踢了 49 场比赛。,自从搬到加泰罗尼亚首都，维达尔已经为俱乐部打了49场比赛。
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",抗议活动于当地时间 11:00 (UTC+1) 左右在白厅 (Whitehall) 开始，白厅对面是首相官邸唐宁街的入口处，由警察看守。,抗议活动于当地时间11:00（UTC+1）在唐宁街警察把守的入口对面的怀特霍尔开始。
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",11 点刚过，抗议者便堵住了白厅北行车道的交通。,十一点刚过，抗议者在白金汉宫北向车道上堵塞了交通。
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",11 点 20 分，警察要求抗议者退回到人行道，并告知抗议者，在行使抗议权利时，务必考虑到越来越拥堵的公共交通问题。,上午11点20分，警方要求抗议者退回人行道上，表示他们需要平衡抗议权与交通拥堵的问题。
