src,ref,hyp
"Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process.",按照程序，HJR-3 將會喺 2015 年或 2016 年由下一屆民選立法機關再次審議，以保持程序繼續進行。,根據程序，HJR-3將由下屆選出的立法機構在2015年或2016年再次審查以繼續進行。
Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.,除咗導演工作之外，禾迪亞其他成就包括喺 1973 年進行絕食，以抗議佢認為係政治審查嘅行為。,維蒂爾在導演之外的成就包括1973年進行了一次絕食抗議，他認為這是政治審查。
French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.,法國法律因此被修改。佢嘅社會運動可以追溯到 15 歲嗰年，當時佢喺第二次世界大戰期間加入咗法國抵抗運動。,法國法律改變了。他的積極主義回溯到15歲，當他參加二戰時的法國抵抗運動時。
He documented himself in a 1998 book.,佢喺 1998 年出版嘅一本書中記錄咗自己嘅經歷。,佢喺1998年嘅一本文集入面記錄咗自己。
In the 1960s he headed back to newly-independent Algeria to teach film directing.,喺 1960 年代，佢返回剛獨立嘅阿爾及利亞，教授電影導演課程。,喺1960年代，佢帶領人馬返咗去新獨立嘅阿爾及利亞教電影導演。
"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.",曾奪得兩面奧運金牌嘅日本柔道選手齋藤仁逝世，享年 54 歲。,日本柔道家平田博之，获得两枚奥运金牌，已54岁去世。
The cause of death was announced as intrahepatic bile duct cancer.,官方公布死因為肝內膽管癌。,死因宣佈為肝內膽管癌。
He died in Osaka on Tuesday.,佢於星期二喺大阪離世。,"佢喺星期二喺大阪死咗。
<|im_end|>"
"As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.",除咗曾經係奧運及世界冠軍之外，齋藤仁喺離世時亦擔任全日本柔道聯盟訓練委員會主席。,除了一屆奧運和世界冠軍外，逝世時的齋藤亦是全日本柔道聯盟訓練委員會主席。
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",至少有 100 人參加咗呢場派對，為咗慶祝一對喺去年結婚嘅夫婦一周年紀念。,至少有100人出席了派對，以慶祝一對夫婦的結婚紀念日，他們的婚禮是去年舉行的。
"A formal anniversary event was scheduled for a later date, officials said.",官員表示，正式嘅周年紀念活動已安排喺稍後日期舉行。,官員表示，原定於較後日期舉行的正式紀念活動已重新安排。
The couple had married in Texas one year ago and came to Buffalo to celebrate with friends and relatives.,呢對夫婦一年前喺德州結婚，之後嚟到水牛城同朋友及親戚一齊慶祝。,佢哋一對人喺德州結婚已經一年，而家嚟布法羅同朋友同親戚一齊慶祝。
"The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.",呢名 30 歲嘅丈夫喺水牛城出生，係槍擊案中四名死者之一，而佢嘅妻子並冇受傷。,而那位三十歲的丈夫，出生於布法羅，是槍擊案中遇害的四人之一，但他的妻子並沒有受傷。
"Karno is a well-known but controversial English tutor who taught under Modern Education and King's Glory who claimed to have 9,000 students at the peak of his career.",卡諾係一位知名但具爭議性嘅英文導師，曾喺 Modern Education 同 King's Glory 任教，佢聲稱自己喺事業巔峰時期擁有 9000 名學生。,"冇人知 Karno 系一個出名但有爭議嘅英文老師，喺 Modern Education 同 King's Glory 度授課，佢聲稱喺其事業巔峰時期有 9,000 名學生。"
"In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.",佢喺筆記中使用咗一啲家長認為粗俗嘅用詞，亦有報道指佢喺課堂上使用粗言穢語。,佢喺佢嘅筆記入面用咗啲字，有啲家長覺得粗俗，據傳佢喺課堂上用咗惡語。
Modern Education accused him of printing large advertisements on buses without authorisation and lying by saying that he was the chief English tutor.,Modern Education 指控佢未經授權喺巴士刊登大型廣告，並謊稱自己係首席英文導師。,現代教育指責他未經批准在巴士上刊登大型廣告，並謊稱自己是首席英文導師。
"He has also been accused previously of copyright infringement, but was not charged.",佢過去亦曾被指控侵犯版權，但最終冇被起訴。,佢亦曾經被控侵犯版權，但並未被控罪。
"A former student said that he 'used slang in class, taught dating skills in notes, and was just like the students' friend.'",一名舊學生表示：「佢會喺課堂上使用俚語，喺筆記中教授約會技巧，而且就好似學生嘅朋友一樣。」,一個舊學生話佢「上課用俚語，筆記教約會技巧，同學就好似朋友咁。」
"During the last three decades, despite officially remaining a communist state, China has developed a market economy.",過去三十年來，雖然中國官方仍然維持共產主義國家體制，但已經發展出市場經濟。,過去三十多年裡，儘管官方上仍然保持共產主義國家，中國已經發展出一個市場經濟。
The first economic reforms were made under the leadership of Deng Xiaoping.,第一次經濟改革係喺鄧小平領導下推行。,第一項經濟改革是在鄧小平領導下進行的。
