src,ref,hyp
按照这一程序，HJR-3将由下一届选出的立法机构在2015年或2016年再次审议，以继续推进该程序。,"Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process.","Under this procedure, HJR-3 will be reconsidered by the legislative body elected in the next term in 2015 or 2016 to continue the process."
除了导演工作外，沃蒂埃的成就还包括1973年为抗议他所认为的政治审查而进行的绝食行动。,Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.,"Besides his directorial work, Vautier's achievements also include a hunger strike in 1973 to protest what he considered political censorship."
法国法律因此得到修改。他的社会活动始于15岁，当时正值第二次世界大战期间，他加入了法国抵抗运动。,French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.,"French law was therefore amended. His social activities began at the age of 15, during World War II, when he joined the French Resistance."
他在1998年出版的一本书中记录了自己的经历。,He documented himself in a 1998 book.,He recorded his experiences in a book published in 1998.
20世纪60年代，他回到刚刚独立的阿尔及利亚，教授电影导演课程。,In the 1960s he headed back to newly-independent Algeria to teach film directing.,"In the 1960s, he returned to the newly independent Algeria to teach film directing courses."
日本柔道选手、两枚奥运会金牌得主齐藤仁（Hitoshi Saito）逝世，享年54岁。,"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.",The Japanese judoka and two-time Olympic gold medalist Hitoshi Saito has passed away at the age of 54.
官方公布的死因是肝内胆管癌。,The cause of death was announced as intrahepatic bile duct cancer.,The official announced cause of death is intrahepatic bile duct cancer.
他于周二在大阪去世。,He died in Osaka on Tuesday.,He passed away in Osaka on Tuesday.
除曾获得奥运会和世界冠军头衔外，齐藤仁去世时还担任全日本柔道联盟训练委员会主席。,"As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.","In addition to having won Olympic and world championship titles, when Masato Saito passed away, he was serving as the chairman of the training committee of the All Japan Judo Federation."
至少有100人参加了这场聚会，以庆祝这对夫妇去年结婚一周年。,"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",At least 100 people attended the party to celebrate the couple's first wedding anniversary last year.
官员表示，正式的周年纪念活动计划在稍后举行。,"A formal anniversary event was scheduled for a later date, officials said.",Officials said that the formal anniversary ceremony is planned to be held later.
这对夫妇一年前在德克萨斯州结婚，随后来到布法罗与亲朋好友一起庆祝。,The couple had married in Texas one year ago and came to Buffalo to celebrate with friends and relatives.,This couple got married in Texas a year ago and came to Buffalo to celebrate with family and friends.
这名30岁的丈夫出生于布法罗，是枪击事件中四名遇难者之一，但他的妻子没有受伤。,"The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.","The 30-year-old husband, born in Buffalo, was one of four victims of the shooting, but his wife was not injured."
卡诺是一名知名但颇具争议的英语教师，曾在现代教育和英皇教育任教。他声称自己在职业生涯巅峰时期拥有9000名学生。,"Karno is a well-known but controversial English tutor who taught under Modern Education and King's Glory who claimed to have 9,000 students at the peak of his career.","Carno is a well-known but controversial English teacher who has taught at Modern Education and Yuen Eng Education. He claims to have had 9,000 students at the peak of his career."
他在笔记中使用了一些被部分家长认为粗俗的词语，据报道他也曾在课堂上使用脏话。,"In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.","He used some words considered vulgar by some parents in his notes, and it has been reported that he also used swear words in class."
