src,ref,hyp
按照程序，HJR-3 將會喺 2015 年或 2016 年由下一屆民選立法機關再次審議，以保持程序繼續進行。,"Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process.","By procedure, HJR-3 will be reconsidered by the next elected legislative body in either 2015 or 2016 to ensure the process continues."
除咗導演工作之外，禾迪亞其他成就包括喺 1973 年進行絕食，以抗議佢認為係政治審查嘅行為。,Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.,"Besides his work as a director, Hadiya's other achievements include fasting in 1973 to protest what he saw as political censorship."
法國法律因此被修改。佢嘅社會運動可以追溯到 15 歲嗰年，當時佢喺第二次世界大戰期間加入咗法國抵抗運動。,French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.,"French law was therefore amended. His social activism dates back to when he was 15 years old, when he joined the French resistance movement during World War II."
佢喺 1998 年出版嘅一本書中記錄咗自己嘅經歷。,He documented himself in a 1998 book.,He recorded his experiences in a book published in 1998.
喺 1960 年代，佢返回剛獨立嘅阿爾及利亞，教授電影導演課程。,In the 1960s he headed back to newly-independent Algeria to teach film directing.,"In the 1960s, he returned to Algeria, a newly independent country, to teach a course in film directing."
曾奪得兩面奧運金牌嘅日本柔道選手齋藤仁逝世，享年 54 歲。,"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.","Japanese judo athlete Akihiko Saito, who won two Olympic gold medals, has passed away at the age of 54."
官方公布死因為肝內膽管癌。,The cause of death was announced as intrahepatic bile duct cancer.,The official cause of death was intrahepatic cholangiocarcinoma.
佢於星期二喺大阪離世。,He died in Osaka on Tuesday.,He passed away in Osaka on Tuesday.
除咗曾經係奧運及世界冠軍之外，齋藤仁喺離世時亦擔任全日本柔道聯盟訓練委員會主席。,"As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.","Besides having been an Olympic and world champion, Aritomo Saito was also the chairman of the Japanese Judo Association's Training Committee at the time of his death."
至少有 100 人參加咗呢場派對，為咗慶祝一對喺去年結婚嘅夫婦一周年紀念。,"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",At least 100 people attended the party to celebrate the one-year anniversary of a couple who got married last year.
