src,tgt
"Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process.",按照这一程序，HJR-3将由下一届选出的立法机构在2015年或2016年再次审议，以继续推进该程序。
"Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.",除了导演工作外，沃蒂埃的成就还包括1973年为抗议他所认为的政治审查而进行的绝食行动。
"French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.",法国法律因此得到修改。他的社会活动始于15岁，当时正值第二次世界大战期间，他加入了法国抵抗运动。
"He documented himself in a 1998 book.",他在1998年出版的一本书中记录了自己的经历。
"In the 1960s he headed back to newly-independent Algeria to teach film directing.",20世纪60年代，他回到刚刚独立的阿尔及利亚，教授电影导演课程。
"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.",日本柔道选手、两枚奥运会金牌得主齐藤仁（Hitoshi Saito）逝世，享年54岁。
"The cause of death was announced as intrahepatic bile duct cancer.",官方公布的死因是肝内胆管癌。
"He died in Osaka on Tuesday.",他于周二在大阪去世。
"As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.",除曾获得奥运会和世界冠军头衔外，齐藤仁去世时还担任全日本柔道联盟训练委员会主席。
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",至少有100人参加了这场聚会，以庆祝这对夫妇去年结婚一周年。
"A formal anniversary event was scheduled for a later date, officials said.",官员表示，正式的周年纪念活动计划在稍后举行。
"The couple had married in Texas one year ago and came to Buffalo to celebrate with friends and relatives.",这对夫妇一年前在德克萨斯州结婚，随后来到布法罗与亲朋好友一起庆祝。
"The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.",这名30岁的丈夫出生于布法罗，是枪击事件中四名遇难者之一，但他的妻子没有受伤。
"Karno is a well-known but controversial English tutor who taught under Modern Education and King's Glory who claimed to have 9,000 students at the peak of his career.",卡诺是一名知名但颇具争议的英语教师，曾在现代教育和英皇教育任教。他声称自己在职业生涯巅峰时期拥有9000名学生。
"In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.",他在笔记中使用了一些被部分家长认为粗俗的词语，据报道他也曾在课堂上使用脏话。
"Modern Education accused him of printing large advertisements on buses without authorisation and lying by saying that he was the chief English tutor.",现代教育指控他未经授权在公交车上刊登大型广告，并谎称自己是首席英语教师。
"He has also been accused previously of copyright infringement, but was not charged.",他此前也曾被指控侵犯版权，但并未受到起诉。
"A former student said that he 'used slang in class, taught dating skills in notes, and was just like the students' friend.'",一名前学生表示，他“在课堂上使用俚语，在笔记中教授约会技巧，就像学生的朋友一样”。
"During the last three decades, despite officially remaining a communist state, China has developed a market economy.",在过去三十年里，尽管中国官方仍将其定义为共产主义国家，但中国已经发展出了市场经济。
"The first economic reforms were made under the leadership of Deng Xiaoping.",最初的经济改革是在邓小平的领导下进行的。
"Since then, China's economic size has grown by 90 times.",从那以后，中国的经济规模增长了90倍。
"For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry.",去年，中国首次出口了比德国更多的汽车，并超过美国成为该行业最大的市场。
"China's GDP could be larger than the United States within two decades.",中国的国内生产总值可能在20年内超过美国。
"Tropical Storm Danielle, fourth named storm of the 2010 Atlantic hurricane season, has formed in the eastern Atlantic Ocean.",热带风暴“丹妮尔”已在大西洋东部形成，是2010年大西洋飓风季第四个获得命名的风暴。
"The storm, located approximately 3,000 miles from Miami, Florida, has maximum sustained winds of 40 mph (64 kph).",这场风暴位于距离佛罗里达州迈阿密约3000英里的海域，最大持续风速达到每小时40英里（64公里）。
"Scientists at the National Hurricane Center predict that Danielle will strengthen to a hurricane by Wednesday.",美国国家飓风中心的科学家预测，“丹妮尔”将在周三前增强为飓风。
"As the storm is far from landfall, it remains difficult to assess potential impact to the United States or Caribbean.",由于风暴距离登陆地点较远，目前仍难以评估其对美国或加勒比地区可能造成的影响。
"Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.",博贝克出生于克罗地亚首都萨格勒布，在效力贝尔格莱德游击队期间声名鹊起。
"He joined them in 1945 and stayed until 1958.",他于1945年加入该队，并一直效力到1958年。
"During his time with the team, he scored 403 goals in 468 appearances.",在效力该队期间，他出场468次，打入403球。
"No one else has ever made more appearances or scored more goals for the club than Bobek.",博贝克是该俱乐部出场次数最多且进球数最多的球员，至今无人超越。
"In 1995 he was voted the best player in Partizan's history.",1995年，他被评选为游击队历史上最佳球员。
"The celebrations started with a special show by the world-renowned group Cirque du Soleil.",庆祝活动以世界著名团体太阳马戏团的一场特别演出拉开序幕。
"It was followed by the Istanbul State Symphony Orchestra, a Janissary band, and the singers Fatih Erkoç and Müslüm Gürses.",随后登场的是伊斯坦布尔国家交响乐团、一支禁卫军乐队，以及歌手法提赫·埃尔科克和穆斯林·古尔斯。
"Then Whirling Dervishes took to the stage.",随后，旋转托钵僧登上了舞台。
"Turkish diva Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou.",土耳其歌后塞泽·阿克苏与意大利男高音亚历山德罗·萨菲纳和希腊歌手哈里斯·阿莱克修同台演出。
"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".",最后，土耳其舞蹈团“安纳托利亚之火”表演了节目《特洛伊》。
"Peter Lenz, a 13-year-old motorcycle racer, has died after being involved in a crash at the Indianapolis Motor Speedway.",13岁的摩托车赛车手彼得·伦茨在印第安纳波利斯赛车场发生事故后去世。
"While on his warm-up lap, Lenz fell off his bike, and was then struck by fellow racer Xavier Zayat.",伦茨在热身圈行驶时从赛车上摔下，随后被同场比赛的车手泽维尔·扎亚特撞击。
"He was immediately attended to by the on-track medical staff and transported to a local hospital where he later died.",赛道医疗人员立即对他进行救治，并将他送往当地医院，但他随后因伤势过重去世。
"Zayat was unhurt in the accident.",扎亚特在这起事故中没有受伤。
"Regarding the global financial situation, Zapatero continued by saying that ""the financial system is a part of the economy, a crucial part.",关于全球金融形势，萨帕特罗继续说道：“金融体系是经济的一部分，而且是至关重要的一部分。”
"We have a year-long financial crisis, which has had its most acute moment in the past two months, and I think now the financial markets are beginning to recover.""",“这场金融危机已经持续了一年，其中最严重的阶段出现在过去两个月。我认为，目前金融市场正开始复苏。”
"Last week, Naked News announced that it would dramatically increase its international language mandate to news reporting, with three new broadcasts.",上周，裸体新闻（Naked News）宣布将通过新增三档广播节目，大幅扩大其国际多语言新闻报道业务。
"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.",该全球组织目前已使用英语和日语进行报道，并正在为电视、网络和移动设备推出西班牙语、意大利语和韩语节目。
"""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.",“幸运的是，我没有受到任何伤害，但我目睹了可怕的一幕，人们试图打破窗户逃出去。”
"People were hitting the panes with chairs, but the windows were unbreakable.",人们用椅子撞击玻璃窗，但窗户无法被打破。
"One of the panes finally broke, and they started to get out by the window,"" said survivor Franciszek Kowal.",幸存者弗朗齐歇克·科瓦尔说：“最终一块玻璃碎了，他们开始从窗户逃出去。”
"Stars give off light and heat because of the energy made when hydrogen atoms are merged (or fused) together to form heavier elements.",恒星会发出光和热，这是因为氢原子结合（或聚变）形成更重元素时会产生能量。
"Scientists are working to create a reactor that can make energy in the same way.",科学家正在努力研制一种能够以相同方式产生能量的反应堆。
"This, however, is a very hard problem to solve and will take many years before we see useful fusion reactors built.",然而，这是一个非常难以解决的问题，可能需要很多年才能看到实用的聚变反应堆建成。
"The steel needle floats on top of the water because of surface tension.",钢针能够漂浮在水面上，是因为表面张力的作用。
"Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.",表面张力的产生是因为水面上的水分子彼此之间的吸引力，比它们与上方空气分子之间的吸引力更强。
"The water molecules make an invisible skin on the water’s surface that allows things like the needle to float on top of the water.",水分子会在水面形成一层看不见的薄膜，使像钢针这样的物体能够漂浮在水面上。
"The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice, even when tilted.",现代冰鞋的刀刃具有双刃结构，两刃之间有一个凹槽。即使冰刀倾斜，双刃也能让冰鞋更好地抓住冰面。
"Because the bottom of the blade is slightly curved, as the blade tilts to one side or the other, the edge which is in contact with the ice also curves.",由于冰刀底部略微弯曲，当冰刀向任一侧倾斜时，与冰面接触的刀刃也会随之弯曲。
"This causes the skater to turn. If the skates tilt to the right, the skater turns right, if the skates tilt to the left, the skater turns left.",这会使滑冰者转向。如果冰刀向右倾斜，滑冰者就向右转；如果冰刀向左倾斜，滑冰者就向左转。
"To return to their previous energy level, they must get rid of the extra energy they got from the light.",为了恢复到原来的能量状态，它们必须释放从光中获得的额外能量。
"They do this by emitting a tiny particle of light called a ""photon"".",它们通过发射一种被称为“光子”的微小光粒子来实现这一过程。
"Scientists call this process ""stimulated emission of radiation"" because the atoms are stimulated by the bright light, causing the emission of a photon of light, and light is a type of radiation.",科学家将这一过程称为“受激辐射”，因为原子受到强光刺激后会发射光子，而光本身也是一种辐射。
"The next picture shows the atoms emitting photons. Of course, in reality photons are a lot smaller than those in the picture.",下一张图片展示了原子发射光子的过程。当然，实际上光子要比图片中显示的小得多。
"Photons are even smaller than the stuff that makes up atoms!",光子甚至比构成原子的物质还要小！
"After hundreds of hours of operation the filament in the bulb eventually burns out and the light bulb no longer works.",灯泡使用数百小时后，内部灯丝最终会烧坏，灯泡也就无法继续工作。
"The light bulb then needs replacing. It is necessary to be careful in replacing the light bulb.",此时需要更换灯泡，更换灯泡时必须小心操作。
"First, the switch for the light fixture needs to be turned off or the cable disconnected.",首先，需要关闭灯具开关或断开电缆连接。
"This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.",这是因为，当灯泡仍部分连接在插座中时，如果触碰插座内部或灯泡的金属底座，流入灯座的电流可能会导致严重电击。
"The major organ of the circulatory system is the heart, which pumps the blood.",循环系统的主要器官是心脏，它负责泵送血液。
"Blood goes away from the heart in tubes called arteries and comes back to the heart in tubes called veins. The smallest tubes are called capillaries.",血液通过称为动脉的血管从心脏流出，再通过称为静脉的血管回流到心脏。最细小的血管称为毛细血管。
"A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.",三角龙的牙齿不仅能够咬碎树叶，甚至还能咬碎非常坚硬的树枝和树根。
"Some scientists think Triceratops ate cycads, which are a type of plant that was common in the Cretaceous.",一些科学家认为三角龙以苏铁为食，这是一种在白垩纪时期十分常见的植物。
"These plants look like a small palm tree with a crown of sharp, spiky leaves.",这些植物看起来像小型棕榈树，顶部生长着一簇尖锐、带刺的叶子。
"A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.",三角龙可能会用强壮的喙剥去叶子，然后食用树干。
"Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot (a descendant of the dinosaurs) can eat poisonous leaves or fruit.",其他科学家认为这些植物具有很强的毒性，因此恐龙不太可能食用它们，尽管如今树懒以及其他动物（例如鹦鹉，恐龙的后代）能够食用有毒的叶子或果实。
"How would Io's gravity pull on me? If you stood on the surface of Io, you would weigh less than you do on Earth.",木卫一的重力会如何作用于我？如果你站在木卫一表面，你的体重会比在地球上轻。
"A person who weighs 200 pounds (90kg) on Earth would weigh about 36 pounds (16kg) on Io. So the gravity, of course, pulls less on you.",一个在地球上重200磅（90千克）的人，在木卫一上的重量约为36磅（16千克）。因此，木卫一的重力对你的拉力当然更小。
"The Sun doesn't have a crust like the Earth that you can stand on. The whole Sun is made out of gases, fire, and plasma.",太阳不像地球那样拥有可以站立的地壳。整个太阳由气体、炽热物质和等离子体组成。
"The gas becomes thinner as you go farther from the center of the Sun.",距离太阳中心越远，气体就会变得越稀薄。
"The outer-part we see when we look at the Sun is called the photosphere, which means ""ball of light"".",我们观察太阳时看到的外层称为光球层，其含义是“光之球”。
"About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does.",大约三千年后，也就是1610年，意大利天文学家伽利略·伽利莱使用望远镜观察到金星也像月球一样具有相位变化。
"Phases happen because only the side of Venus (or of the Moon) facing the Sun is lighted. The phases of Venus supported the theory of Copernicus that the planets go around the Sun.",相位变化是因为金星（或月球）只有朝向太阳的一面被照亮。金星的相位变化支持了哥白尼提出的行星绕太阳运行的理论。
"Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.",几年后，也就是1639年，英国天文学家杰里迈亚·霍罗克斯（Jeremiah Horrocks）观测到了金星凌日现象。
"England had experienced a long period of peace after the reconquest of the Danelaw.",重新征服丹麦法地区（Danelaw）后，英格兰经历了长期的和平时期。
"However in 991 Ethelred was faced with a Viking fleet larger than any since Guthrum's a century earlier.",然而，到了991年，埃塞尔雷德面对了一支规模超过一个世纪前古斯鲁姆以来任何维京舰队的维京舰队。
"This fleet was led by Olaf Trygvasson, a Norwegian with ambitions to reclaim his country from Danish domination.",这支舰队由奥拉夫·特里格瓦松率领，他是一名挪威人，企图将自己的国家从丹麦统治下夺回。
