src,ref,hyp
星期一，史丹福大學醫學院嘅科學家宣佈，佢哋發明咗一種可以對細胞進行分類嘅新診斷工具：用標準噴墨打印機製造嘅微型可打印晶片，每塊晶片嘅價格大概係 1 美仙。,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","On Monday, scientists from Stanford University announced they had invented a new diagnostic tool for classifying cells: micro-printable chips made with standard inkjet printers, with each chip costing about 1 cent."
首席研究員表示，研究結果可能會令低收入國家嘅患者及早發現癌症、肺結核、愛滋病同瘧疾。喺呢啲國家，乳癌等疾病嘅生存率可能只有富裕國家嘅一半。,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","The chief researcher said the study results may lead to earlier detection of cancer, tuberculosis, AIDS, and malaria in low-income countries, where survival rates for diseases like breast cancer may only be half those in wealthy nations."
當地時間上午九點半左右（UTC 0230），JAS 39C 鷹獅戰機喺跑道上墜毀爆炸，導致機場關閉，商業航班冇辦法升降。,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","At approximately 9:30 a.m. local time (UTC+0230), the JAS 39C Eagle狮战斗机 crashed and exploded on the runway, causing the airport to close and commercial flights to be unable to take off or land."
確認涉事機師係空軍少校迪羅基列·帕達維。,The pilot was identified as Squadron Leader Dilokrit Pattavee.,The involved pilot is Air Force Lieutenant Colonel Diloriki Padav.
當地媒體報導，一部機場消防車喺行動中翻側。,Local media reports an airport fire vehicle rolled over while responding.,Local media reported that an airport fire truck overturned while in action.
28歲嘅維達爾喺三個賽季前由塞爾維亞加盟巴塞。,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",The 28-year-old Vidal joined Barcelona from Serbia three seasons ago.
自從轉會到加泰羅尼亞首府，維達爾已經幫俱樂部踢咗49場比賽。,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Since moving to Catalonia's capital, Vidar has already played 49 matches for the club."
當地時間11點（標準時間 UTC+1 ）左右抗議活動喺白廳開始，對面有警察把守首相官邸唐寧街嘅入口。,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Protest activities began around 11:00 local time (standard time UTC+1) at White Hall, with police guarding the entrance to 10 Downing Street opposite."
啱啱過咗11點，抗議人士封鎖咗白廳北行車道嘅交通。,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","Just after 11:00, protesters blocked traffic on the northbound lane of White Hall."
11點20分，警方要求抗議人士返回人行道，話佢哋需要喺抗議權同交通擠塞之間取得平衡。,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","At 11:20, the police asked protesters to return to the sidewalk, saying they needed to strike a balance between protest rights and traffic congestion."
11點29分左右，抗議人士沿住白廳經過特拉法加廣場、斯特蘭德（ Strand ）、奥德维奇（ Aldwych ）、金斯威（ Kingsway ）走去霍本（ Holborn ），保守黨喺干諾大酒店（ Grand Connaught Rooms ）舉行春季論壇。,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Around 11:29, protesters marched from Whitehall through Trafalgar Square, Strand, Aldwych, and Kingsway to Holborn, while the Conservative Party held its Spring Forum at the Grand Connaught Rooms."
拿度對加拿大嘅頭球記錄為7比2。,Nadal's head to head record against the Canadian is 7–2.,The record for headers against Canada is 7-2.
佢最近喺布里斯班公開賽輸畀拉奧尼治。,He recently lost against Raonic in the Brisbane Open.,He recently lost to Raonic at the Brisbane Open.
拿度喺比賽入面嘅網前得分係88%，喺首個發球局贏得76分。,Nadal bagged 88% net points in the match winning 76 points in the first serve.,"The score obtained in the match by hitting the net was 88%, and they won 76 points in the first serve game."
紅土之王喺賽後表示：“我好高興可以殺入最重要賽事嘅最後一輪。我嚟呢度就係為咗贏呢場嘅勝利。,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","The King of Red Soil stated after the race, ""I am very happy to have qualified for the final round of the most important race. I came here specifically to win this victory."""
「巴拿馬文件」係巴拿馬莫薩克-馮塞卡律師事務所喺2016年春天洩露畀傳媒約一千萬份文件嘅總稱。,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","The ""Panama Papers"" refer to approximately ten million documents leaked by the Panama Mossack Fonseca law firm to the media in the spring of 2016."
文件顯示，十四間銀行協助富裕客戶隱藏幾十億美元嘅財富，嚟到逃稅同其他規管。,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,The document reveals that fourteen banks helped wealthy clients conceal billions of dollars in wealth for tax evasion and other regulatory evasion.
"英國報章《衛報》指出，用嚟達到呢個目的嘅空殼公司達 1,200 間，而德意志銀行控制咗其中大約三分之一。",British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,"The British newspaper *The Guardian* reports that there are 1,200 shell companies used to achieve this purpose, and Deutsche Bank controls about one-third of them."
呢件事引起咗世界各地嘅抗議活動、多宗刑事起訴，同埋冰島同巴基斯坦政府嘅領導人辭職。,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","This event has triggered protest activities worldwide, multiple criminal charges, and the resignation of the leaders of the Icelandic and Pakistani governments."
馬英九喺香港出世，曾經喺紐約大學同哈佛大學法學院就讀，曾擁有美國永久居民 「綠卡」身份。,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Ma Ying-jeou was born in Hong Kong, has studied at New York University and Harvard Law School, and once held a U.S. permanent resident ""green card"" status."
謝長廷喺選舉期間暗示馬英九可能會喺台灣遇上危機嘅時候逃離台灣。,Hsieh implied during the election that Ma might flee the country during a time of crisis.,"During the election period, Hsiang Chang-ting implied that Ma Ying-jeou might flee Taiwan if he encountered a crisis there."
謝長廷仲認為，上鏡嘅馬英九只有外表而冇內涵。,Hsieh also argued that the photogenic Ma was more style than substance.,"Chia-chang Tseng also believes that Ma Ying-jeou, who is always on camera, only has a pretty face and lacks substance."
雖然備受呢啲指責，但係馬英九依然喺一個主張同中國大陸建立更緊密聯繫嘅平台上輕鬆勝出。,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","Although facing those criticisms, Ma Ying-jeou still easily won on a platform that advocates establishing closer ties with mainland China."
今日嘅最佳選手係華盛頓首都嘅亞歷克斯·奧韋奇金。,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,The best player today is Alex Ovechkin from Washington Capitals.
喺華盛頓5比3戰勝亞特蘭大鶇鳥隊嘅比賽入面，佢貢獻咗2個入球同2次助攻。,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,He contributed 2 goals and 2 assists in the game where the Washington team won against the Atlanta Hawks 5 to 3.
奧韋奇金嗰晚嘅第一個助攻係嚟自新秀巴克斯壯嘅制勝一球；,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,The first assist of the night came from rookie Baxton's game-winning shot.
佢喺當晚嘅第二個入球係佢喺呢個賽季嘅第60個個人入球，成為自1995-1996賽季哈路米亞·查格同馬利奧·勒米阿分別達成呢個里程碑以來，首位喺一個賽季中錄得60個或以上入球嘅球員。,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","He scored the second goal that night, which was his 60th personal goal of the season, becoming the first player since the 1995-1996 season when Harumi Chage and Mario Lemina individually achieved this milestone to record 60 or more goals in a single season."
巴頓喺2008年全美富豪400強榜單入面排名第190位，估計資產總值達到23億美元。,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Barton ranked 190th on the 2008 Forbes 400 Richest People in America list, with an estimated net worth of $2.3 billion."
佢1950年喺維珍尼亞大學藝術與科學學院畢業，之後成為咗呢間學校嘅重要捐助人。,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,He graduated from the College of Arts and Sciences at the University of Virginia in 1950 and later became an important donor to the university.
伊拉克嘅阿布格萊布監獄喺一次騷亂畀人燒毀。,Iraq's Abu Ghraib prison has been set alight during a riot.,The Abu Ghraib prison in Iraq was burned down during a riot.
發現美軍接管後虐待囚犯，監獄從此聲名狼藉。,The jail became notorious after prisoner abuse was discovered there after US forces took over.,The discovery of U.S. military abusing prisoners after taking over led to the prison gaining a notorious reputation from then on.
喺2008年嘅新加坡大獎賽上，小皮奎特剛喺費南度·阿朗素提前入站就撞車，令到安全車出動。,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.","At the 2008 Singapore Grand Prix, Schumacher's car crashed just after Felipe Massa pitted early, causing the safety car to come out."
當阿朗素前面嘅賽車喺安全車後加油時，佢就超前，贏得勝利。,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","When the car in front of Ah Long So was refueling behind the safety car, he overtook and won the victory."
小皮奎特喺 2009 年匈牙利大獎賽後就畀人炒魷魚。,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Little Pit Quate was dropped after the 2009 Hungarian Grand Prix.
