src,ref,hyp
周一，斯坦福大学医学院的科学家宣布，他们发明了一种可以将细胞按类型分类的新型诊断工具：一种可打印的微型芯片。这种芯片可以使用标准喷墨打印机制造，每片价格可能在一美分左右。,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","On Monday, scientists from Stanford University School of Medicine announced they had invented a new diagnostic tool capable of classifying cells by type: a printable microchip that can be manufactured using standard inkjet printers and may cost around one cent per chip."
主要研究人员表示，这可以让低收入国家/地区的患者尽早发现癌症、肺结核、艾滋病和疟疾。在这些国家/地区，乳腺癌等疾病的生存率可能仅为富裕国家的一半。,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Major researchers say this can help patients in low-income countries detect cancer, tuberculosis, HIV, and malaria early, as survival rates for diseases like breast cancer there may be only half those in wealthy nations."
当地时间上午 9:30 左右 (UTC 0230)，JAS 39C 鹰狮战斗机撞上跑道并发生爆炸，导致机场关闭，商业航班无法正常起降。,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","At approximately 9:30 local time (UTC+0230), the JAS 39C Gripen fighter jet crashed into the runway and exploded, causing the airport to close and preventing commercial flights from taking off or landing normally."
涉事飞行员是空军中队长迪罗里·帕塔维 (Dilokrit Pattavee)。,The pilot was identified as Squadron Leader Dilokrit Pattavee.,The involved pilot is Air Force Wing Commander Dilokrit Pattavee.
当地媒体报道，一辆机场消防车在响应火警时翻了车。,Local media reports an airport fire vehicle rolled over while responding.,Local media reported that an airport fire truck crashed while responding to a fire alarm.
三个赛季前，28岁的比达尔（Vidal）从塞维利亚队加盟巴萨。,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","Three seasons ago, 28-year-old Vidal joined Barcelona from Seville."
自从转会到加泰罗尼亚的首府球队，维达尔已经为俱乐部踢了 49 场比赛。,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Since transferring to the Catalan capital team, Vidal has played 49 matches for the club."
抗议活动于当地时间 11:00 (UTC+1) 左右在白厅 (Whitehall) 开始，白厅对面是首相官邸唐宁街的入口处，由警察看守。,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","Protest activities began around 11:00 local time (UTC+1) at Whitehall, opposite the entrance to the Prime Minister's residence at 10 Downing Street, which was guarded by police."
11 点刚过，抗议者便堵住了白厅北行车道的交通。,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","Just after 11 a.m., protesters blocked traffic on the northbound side of Whitehall."
11 点 20 分，警察要求抗议者退回到人行道，并告知抗议者，在行使抗议权利时，务必考虑到越来越拥堵的公共交通问题。,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","At 11:20, the police ordered the protesters to move back onto the sidewalk and informed them that when exercising their right to protest, they must take into account the increasingly congested public transportation issue."
11 点 29 分左右，抗议人群向前行进至白厅，经过特拉法尔加广场、斯特兰德大街、奥德维奇、京士威，向霍尔本行进，保守党正在当地的 Grand Connaught Rooms 酒店举行春季论坛。,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","Around 11:29, the protest crowd advanced towards Whitehall, passing through Trafalgar Square, Strand, Aldwych, and Kingsway, heading towards Holborn, while the Conservative Party is holding its Spring Forum at the Grand Connaught Rooms locally."
纳达尔（Nadal）与加拿大人的交手记录是 7-2。,Nadal's head to head record against the Canadian is 7–2.,Nadal's record against Canadians is 7-2.
不久前，他在布里斯班公开赛上败于拉奥尼奇。,He recently lost against Raonic in the Brisbane Open.,He recently lost to Raonic at the Brisbane Open.
纳达尔（Nadal ）在比赛中把 88% 的净胜分收入囊中，在第一个发球局赢得 76 分。,Nadal bagged 88% net points in the match winning 76 points in the first serve.,"Nadal secured 88% of the net points in the match, winning 76 points in the first serve game."
赛后，红土之王拉斐尔·纳达尔称：“我很开心重返能这项重大赛事的决赛，我会尽全力争取夺冠。”,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","After the match, Rafael Nadal, the clay court king, said: ""I'm very happy to return to the final of this major event, and I will do my best to fight for the championship."""
"“巴拿马文件” 是巴拿马莫萨克·冯塞卡律师事务所 (Mossack Fonseca) 约 1,000 万份文件的总称，这些文件在 2016 年春季被爆料给媒体。","""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""The Panama Papers are the collective name for approximately 10 million documents from the Panamanian law firm Mossack Fonseca, which were leaked to the media in the spring of 2016."""
文件显示，十四家银行帮助富有的客户隐藏了数十亿美元的财富来逃避税收和其它监管。,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,The document reveals that fourteen banks helped wealthy clients hide billions of dollars in wealth to evade taxes and other regulations.
英国《卫报》指出，在用于实现这一目标的 1200 家空壳公司中，德意志银行控制了大约三分之一。,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,"The British newspaper The Guardian reported that Deutsche Bank controlled about one-third of the 1,200 shell companies used to achieve this goal."
世界各地都发生了抗议活动，有几起刑事诉讼，冰岛和巴基斯坦政府的领导人都辞职了。,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Protests occurred worldwide, several criminal cases were filed, and the leaders of both Iceland and Pakistan resigned."
马生于香港，曾就读于纽约大学和哈佛大学法学院，还一度持有美国永久居民身份证“绿卡”。,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","He was born in Hong Kong, attended New York University and Harvard Law School, and once held a U.S. permanent resident card, known as a ""green card."""
谢长廷在选举期间暗示，马英九在遇到危机时可能会逃离台湾。,Hsieh implied during the election that Ma might flee the country during a time of crisis.,"During the election, Hsih Chang-ting implied that Ma Ying-jeou might flee Taiwan if faced with a crisis."
