src,ref,hyp
按照程序，HJR-3 將會喺 2015 年或 2016 年由下一屆民選立法機關再次審議，以保持程序繼續進行。,"Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process.","According to the procedure, HJR-3 will be reconsidered by the next elected legislative body in 2015 or 2016 to maintain the process."
除咗導演工作之外，禾迪亞其他成就包括喺 1973 年進行絕食，以抗議佢認為係政治審查嘅行為。,Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.,"In addition to her work as a director, Hodia's other achievements include a 1973 hunger strike to protest what she considered political censorship."
法國法律因此被修改。佢嘅社會運動可以追溯到 15 歲嗰年，當時佢喺第二次世界大戰期間加入咗法國抵抗運動。,French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.,"French law was therefore amended. His social activism can be traced back to the year he was 15, when he joined the French Resistance during World War II."
佢喺 1998 年出版嘅一本書中記錄咗自己嘅經歷。,He documented himself in a 1998 book.,He recorded his experiences in a book published in 1998.
喺 1960 年代，佢返回剛獨立嘅阿爾及利亞，教授電影導演課程。,In the 1960s he headed back to newly-independent Algeria to teach film directing.,"In the 1960s, he returned to newly independent Algeria to teach film directing courses."
曾奪得兩面奧運金牌嘅日本柔道選手齋藤仁逝世，享年 54 歲。,"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.","Japanese judoka Shizuto Akiyama, who won two Olympic gold medals, has died at the age of 54."
官方公布死因為肝內膽管癌。,The cause of death was announced as intrahepatic bile duct cancer.,The official cause of death was intrahepatic cholangiocarcinoma.
佢於星期二喺大阪離世。,He died in Osaka on Tuesday.,He passed away in Osaka on Tuesday.
除咗曾經係奧運及世界冠軍之外，齋藤仁喺離世時亦擔任全日本柔道聯盟訓練委員會主席。,"As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.","Besides being a former Olympic and world champion, Jin was also serving as the chairman of the Japan Judo Federation Training Committee at the time of his death."
至少有 100 人參加咗呢場派對，為咗慶祝一對喺去年結婚嘅夫婦一周年紀念。,"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",At least 100 people attended the party to celebrate the anniversary of a couple who got married last year.
官員表示，正式嘅周年紀念活動已安排喺稍後日期舉行。,"A formal anniversary event was scheduled for a later date, officials said.",Officials stated that the official anniversary event has been scheduled for a later date.
呢對夫婦一年前喺德州結婚，之後嚟到水牛城同朋友及親戚一齊慶祝。,The couple had married in Texas one year ago and came to Buffalo to celebrate with friends and relatives.,"This couple got married in Texas a year ago, and then came to Buffalo to celebrate with friends and family."
呢名 30 歲嘅丈夫喺水牛城出生，係槍擊案中四名死者之一，而佢嘅妻子並冇受傷。,"The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.","The 30-year-old husband, who was born in Buffalo, was one of the four victims killed in the shooting, while his wife was not injured."
卡諾係一位知名但具爭議性嘅英文導師，曾喺 Modern Education 同 King's Glory 任教，佢聲稱自己喺事業巔峰時期擁有 9000 名學生。,"Karno is a well-known but controversial English tutor who taught under Modern Education and King's Glory who claimed to have 9,000 students at the peak of his career.","Carno is a well-known but controversial English teacher who once taught at Modern Education and King's Glory. He claims to have had 9,000 students during his peak career."
佢喺筆記中使用咗一啲家長認為粗俗嘅用詞，亦有報道指佢喺課堂上使用粗言穢語。,"In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.","He used some words considered vulgar by parents in his notes, and there were reports that he used profanity in class."
Modern Education 指控佢未經授權喺巴士刊登大型廣告，並謊稱自己係首席英文導師。,Modern Education accused him of printing large advertisements on buses without authorisation and lying by saying that he was the chief English tutor.,Modern Education accused them of illegally posting large advertisements on buses and falsely claiming to be the chief English instructor.
佢過去亦曾被指控侵犯版權，但最終冇被起訴。,"He has also been accused previously of copyright infringement, but was not charged.","He was previously accused of copyright infringement, but was not prosecuted in the end."
一名舊學生表示：「佢會喺課堂上使用俚語，喺筆記中教授約會技巧，而且就好似學生嘅朋友一樣。」,"A former student said that he 'used slang in class, taught dating skills in notes, and was just like the students' friend.'","One former student said, ""He uses slang in class, teaches dating skills in notes, and is just like a friend to the students."""
過去三十年來，雖然中國官方仍然維持共產主義國家體制，但已經發展出市場經濟。,"During the last three decades, despite officially remaining a communist state, China has developed a market economy.","Over the past three decades, although the Chinese government has still maintained the communist system, it has developed a market economy."
