id,direction,quality_tier,source_text,reference_text,candidate_text,source_dataset,source_example_id,license,retrieval_date,dedup_check,Semantic_Accuracy,Fluency,Tone_Register,Emotional_Consistency,Cultural_Appropriateness,Dialect_Correctness,Overall_Comments
s52_taskA_00001,en2cmn,clean,"The strain of bird flu lethal to humans, H5N1, has been confirmed to have infected a dead wild duck, found on Monday, in marshland near Lyon in the east of France.","周一,法国东部里昂附近的沼泽内发现了一只死野鸭。经证实,这只野鸭感染了对人类致命的 H5N1 型禽流感病毒。",野鳥流感病毒H5N1被确认在法国东部一处湖沼地上死鸟的尸体上。,facebook/flores,flores200_devtest_184,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00002,en2cmn,clean,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.","“到 2020 年之前,我们将努力使单位国内生产总值二氧化碳排放量比 2005 年显著下降,”胡锦涛说。","我们将努力使每单位GDP的碳排放量减少20% 以上,比2005年的水平减少,在2020年前完成。",facebook/flores,flores200_devtest_46,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00003,en2cmn,clean,"In 1994, this conflict led to the creation of the self-proclaimed Transnistria Republic in eastern Moldova, which has its own government and currency but is not recognised by any UN member country.","1994 年,这场冲突导致摩尔多瓦东部自诩为德涅斯特河沿岸共和国的成立。该共和国有自己的政府和货币,但没有得到任何联合国成员国的认可。","在1994年,這個衝突造成了東道國的獨立主義者在摩爾多瓦東部創建了獨立的特區,該區的政府和貨幣不被任何聯合國成員國承認。",facebook/flores,flores200_devtest_939,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00004,en2cmn,clean,Aerosmith have cancelled their remaining concerts on their tour.,空中铁匠乐队已经取消了他们巡回演唱会的剩余场次。,Aerosmith已經取消了他們的剩餘演唱會。,facebook/flores,flores200_devtest_224,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00005,en2cmn,clean,"Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.","政府还承诺提供数百万剂脑炎疫苗,这将有助于医疗机构为明年做好准备。",政府也会给予几百万瓶的脑炎疫苗,facebook/flores,flores200_devtest_115,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00006,en2cmn,clean,"Infectious diseases themselves, or dangerous animals that can injure or kill people by force, do not usually qualify as pests.","传染性疾病本身,或那些能通过暴力杀伤人类的危险动物,通常不属于害虫之列。","传染病本身,或者是危险的动物,如犬类,它们可以伤害或杀死人,而不是作为害虫。",facebook/flores,flores200_devtest_825,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00007,en2cmn,clean,People may not anticipate that patience and understanding are also necessary for travellers returning home.,"人们可能想不到,旅行者在回程中也需要耐心和理解。","人们可能不明白,对回家的旅客来说,耐心和理解也是必要的。",facebook/flores,flores200_devtest_897,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00008,en2cmn,clean,"A former Filipino policeman has kept Hong Kong tourists hostage by hijacking their bus in Manila, the capital of the Philippines.","菲律宾一名前警察在首都马尼拉劫持旅游大巴,将车上的香港游客作为人质。",菲律宾的前警察 把香港游客的公车绑架了,facebook/flores,flores200_devtest_309,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00009,en2cmn,clean,"Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland.","格陵兰岛人烟稀少。据北欧史诗萨迦记载,红胡子埃里克因犯谋杀罪被逐出冰岛,他向西航行,发现陆地,于是将其命名为格陵兰岛。","挪威人在挪威的西部很稀少,在挪威的古老传说里,埃尔默·雷德说他从冰岛被驱逐出去,因为谋杀罪名,而在西部发现了挪威,并给它取名为挪威。",facebook/flores,flores200_devtest_398,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00010,en2cmn,clean,"It was ruled by the ""Vichy"" French. These were French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them.","它由“维希”法国人统治。这些法国人在 1940 年与德国人达成了和平协议,不反抗侵略者,而是和他们合作。",这次战争是法国人与德国人合作的战争,facebook/flores,flores200_devtest_407,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00011,en2cmn,clean,"More traditional churches often hold an Easter Vigil on Saturday night during the Easter weekend, with the congregations often breaking into celebration at the stroke of midnight to celebrate Christ's resurrection.","更传统的教堂常常在复活节周末的周六晚上举行复活节守夜活动,会众通常在午夜钟声敲响之时涌入庆典,庆祝基督的复活。","传统的礼拜堂通常在星期天晚上举行圣诞晚会,并且在圣诞节晚上,大多数信众会在敲钟时庆祝新生。",facebook/flores,flores200_devtest_1001,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00012,en2cmn,clean,The vehicle itself was taken away from the scene of the accident at approximately 1200 GMT on the same day.,"当天,格林尼治时间 (GMT) 约 12 时许,该车辆被拖离事故现场。","事故发生的车辆被带走,约1200点左右",facebook/flores,flores200_devtest_124,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00013,en2cmn,clean,"Lions are the most social cats, living in large groups called prides.","狮子是群居属性最明显的猫科动物,生活在称为狮群的大型群体中。","狮子是最社交的猫,生活在一起叫做部落。",facebook/flores,flores200_devtest_362,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00014,en2cmn,clean,"The final match of the series will take place at Ellis Park in Johannesburg next week, when the Springboks play Australia.","该系列赛的最后一场比赛将于下周在约翰内斯堡 (Johannesburg) 的埃利斯公园举行,届时斯普林博克斯 (Springboks) 将迎战澳大利亚队。","本系列比赛将在约翰内斯堡的埃利斯公园上进行,本届球队将与澳大利亚队进行最后一场比赛。",facebook/flores,flores200_devtest_180,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00015,en2cmn,clean,The satellite was sent into space by a rocket. Scientists use telescopes in space because the Earth’s atmosphere distorts some of our light and view.,卫星是由火箭发射到太空的。科学家在太空中使用望远镜是因为地球的大气层让某些光线和视野产生扭曲。,卫星由火箭发射到宇宙空间 科学家用望远镜在空中观察,facebook/flores,flores200_devtest_355,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00016,en2cmn,clean,"A couple may decide it is not in their best interest, or in the interest of their child, to raise a baby.","一对夫妻可能出于自己的利益,或者为其子女利益着想,因而决定不进行生育。","一对夫妇可能会决定,他们不在意,或对孩子的好,不需要生育一个孩子。",facebook/flores,flores200_devtest_588,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00017,en2cmn,clean,The wheel has changed the world in incredible ways. The biggest thing that the wheel has done for us is given us much easier and faster transportation.,"车轮以不可思议的方式改变了世界。车轮对我们最大的贡献,是让我们的交通更加便捷。",轮子改变了世界的样子 非常大的事情就是给我们带来了更方便的交通工具,facebook/flores,flores200_devtest_357,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00018,en2cmn,clean,He was greeted by Singapore's Deputy Prime Minister Wong Kan Seng and discussed trade and terrorism issues with the Singapore Prime Minister Lee Hsien Loong.,"他受到了新加坡副总理黄根成的欢迎,并与新加坡总理李显龙探讨了贸易和恐怖主义问题。",他和新加坡副总理王坎善讨论了贸易和恐怖主义问题。,facebook/flores,flores200_devtest_69,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
s52_taskA_00019,en2cmn,clean,"At the extremes of the poll, 29 per cent of those surveyed believe Australia should become a republic as soon as possible, while 31 per cent believe Australia should never become a republic.","投票存在两极分化的情况,29% 的受访者认为澳大利亚应该尽快成立共和国,31% 的人则认为澳大利亚永远不应该成立共和国。","在极端两边,29%的人认为澳大利亚应该很快成为共和国,而31%的人认为应该永远不成为共和国。",facebook/flores,flores200_devtest_325,CC-BY-SA 4.0,2026-09-23,passed,,,,,,,
