src,ref,hyp
"Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process.",按照这一程序，HJR-3将由下一届选出的立法机构在2015年或2016年再次审议，以继续推进该程序。,按照流程，HJR-3将在2015或2016年下次选举产生的立法机构中再次审议，以保持进程。
Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.,除了导演工作外，沃蒂埃的成就还包括1973年为抗议他所认为的政治审查而进行的绝食行动。,瓦特尔在导演之外的成就包括1973年的一次绝食行动，以抗议他视为政治审查的行为。
French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.,法国法律因此得到修改。他的社会活动始于15岁，当时正值第二次世界大战期间，他加入了法国抵抗运动。,法国法律发生了变化。他从15岁起就开始积极活动，当时他加入了二战期间的法国抵抗组织。
He documented himself in a 1998 book.,他在1998年出版的一本书中记录了自己的经历。,他于1998年出版的书中记录了自己。
In the 1960s he headed back to newly-independent Algeria to teach film directing.,20世纪60年代，他回到刚刚独立的阿尔及利亚，教授电影导演课程。,1960年代，他返回新独立的阿尔及利亚任教电影导演。
"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.",日本柔道选手、两枚奥运会金牌得主齐藤仁（Hitoshi Saito）逝世，享年54岁。,日本柔道选手内山俊士，两届奥运金牌得主，享年54岁去世。
The cause of death was announced as intrahepatic bile duct cancer.,官方公布的死因是肝内胆管癌。,死亡原因被宣布为肝内胆管癌。
He died in Osaka on Tuesday.,他于周二在大阪去世。,他于星期二在大阪去世。
"As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.",除曾获得奥运会和世界冠军头衔外，齐藤仁去世时还担任全日本柔道联盟训练委员会主席。,此外，斋藤曾是前奥运会和世界冠军，他在去世时担任全日本柔道联盟训练委员会主席。
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",至少有100人参加了这场聚会，以庆祝这对夫妇去年结婚一周年。,至少有100人参加了聚会，以庆祝一对去年结婚的夫妇的第一个周年纪念日。
"A formal anniversary event was scheduled for a later date, officials said.",官员表示，正式的周年纪念活动计划在稍后举行。,官方人士表示，正式的纪念活动将安排在之后的日期举行。
The couple had married in Texas one year ago and came to Buffalo to celebrate with friends and relatives.,这对夫妇一年前在德克萨斯州结婚，随后来到布法罗与亲朋好友一起庆祝。,这对夫妇一年前在德克萨斯州结婚，现在来到水牛城与朋友和亲戚庆祝。
"The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.",这名30岁的丈夫出生于布法罗，是枪击事件中四名遇难者之一，但他的妻子没有受伤。,30岁的丈夫出生于水牛城，是四名遇害者之一，但他的妻子安然无恙。
"Karno is a well-known but controversial English tutor who taught under Modern Education and King's Glory who claimed to have 9,000 students at the peak of his career.",卡诺是一名知名但颇具争议的英语教师，曾在现代教育和英皇教育任教。他声称自己在职业生涯巅峰时期拥有9000名学生。,卡诺是一位知名但颇具争议的英语教师，曾任职于现代教育和国王荣耀机构，声称在其事业巅峰时期拥有9000名学生。
"In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.",他在笔记中使用了一些被部分家长认为粗俗的词语，据报道他也曾在课堂上使用脏话。,在他的笔记中，他使用了一些家长认为粗俗的词汇，据报道他在课堂上还使用了脏话。
Modern Education accused him of printing large advertisements on buses without authorisation and lying by saying that he was the chief English tutor.,现代教育指控他未经授权在公交车上刊登大型广告，并谎称自己是首席英语教师。,现代教育指责他未经许可在公交车上印刷大量广告，并声称他是首席英语导师，这是在撒谎。
"He has also been accused previously of copyright infringement, but was not charged.",他此前也曾被指控侵犯版权，但并未受到起诉。,他过去也曾被指控侵犯版权，但未被起诉。
"A former student said that he 'used slang in class, taught dating skills in notes, and was just like the students' friend.'",一名前学生表示，他“在课堂上使用俚语，在笔记中教授约会技巧，就像学生的朋友一样”。,一位前学生表示，他曾在课堂上使用俚语，在笔记中教授约会技巧，就像学生的朋友们一样。
"During the last three decades, despite officially remaining a communist state, China has developed a market economy.",在过去三十年里，尽管中国官方仍将其定义为共产主义国家，但中国已经发展出了市场经济。,在过去的三十年里，尽管官方上仍保持社会主义国家地位，中国已经发展出一个市场经济。
The first economic reforms were made under the leadership of Deng Xiaoping.,最初的经济改革是在邓小平的领导下进行的。,第一次经济改革是在邓小平的领导下进行的。
"Since then, China's economic size has grown by 90 times.",从那以后，中国的经济规模增长了90倍。,此后，中国的经济规模增长了90倍。
"For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry.",去年，中国首次出口了比德国更多的汽车，并超过美国成为该行业最大的市场。,去年，中国首次出口的汽车数量超过德国，成为该行业最大的市场，超越了美国。
China's GDP could be larger than the United States within two decades.,中国的国内生产总值可能在20年内超过美国。,中国国内生产总值可能在二十年内超过美国。
"Tropical Storm Danielle, fourth named storm of the 2010 Atlantic hurricane season, has formed in the eastern Atlantic Ocean.",热带风暴“丹妮尔”已在大西洋东部形成，是2010年大西洋飓风季第四个获得命名的风暴。,2010年大西洋飓风季的第四场命名风暴热带风暴黛安娜已在大西洋东部海域形成。
"The storm, located approximately 3,000 miles from Miami, Florida, has maximum sustained winds of 40 mph (64 kph).",这场风暴位于距离佛罗里达州迈阿密约3000英里的海域，最大持续风速达到每小时40英里（64公里）。,这场风暴位于佛罗里达州迈阿密以南约3000英里处，最大持续风速为40英里/小时（64公里/小时）。
Scientists at the National Hurricane Center predict that Danielle will strengthen to a hurricane by Wednesday.,美国国家飓风中心的科学家预测，“丹妮尔”将在周三前增强为飓风。,国家飓风中心的科学家预测，丹妮尔将在周三增强为飓风。
"As the storm is far from landfall, it remains difficult to assess potential impact to the United States or Caribbean.",由于风暴距离登陆地点较远，目前仍难以评估其对美国或加勒比地区可能造成的影响。,由于风暴尚远离陆地，评估其对美国或加勒比地区可能造成的影响仍很困难。
"Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.",博贝克出生于克罗地亚首都萨格勒布，在效力贝尔格莱德游击队期间声名鹊起。,出生于克罗地亚首都萨格勒布，博贝克在贝尔格莱德游击队效力期间成名。
He joined them in 1945 and stayed until 1958.,他于1945年加入该队，并一直效力到1958年。,他于1945年加入他们，直到1958年一直留在那里。
"During his time with the team, he scored 403 goals in 468 appearances.",在效力该队期间，他出场468次，打入403球。,在他效力球队期间，他共出场468次，打进了403球。
No one else has ever made more appearances or scored more goals for the club than Bobek.,博贝克是该俱乐部出场次数最多且进球数最多的球员，至今无人超越。,没有任何人比博贝克为俱乐部出场次数更多、进球更多。
In 1995 he was voted the best player in Partizan's history.,1995年，他被评选为游击队历史上最佳球员。,1995年，他被选为贝尔格莱德游击队队史最佳球员。
The celebrations started with a special show by the world-renowned group Cirque du Soleil.,庆祝活动以世界著名团体太阳马戏团的一场特别演出拉开序幕。,庆祝活动以世界著名的 Cirque du Soleil 团体的一场特别表演拉开序幕。
"It was followed by the Istanbul State Symphony Orchestra, a Janissary band, and the singers Fatih Erkoç and Müslüm Gürses.",随后登场的是伊斯坦布尔国家交响乐团、一支禁卫军乐队，以及歌手法提赫·埃尔科克和穆斯林·古尔斯。,随后是伊斯坦布尔国家交响乐团、近卫军乐队，以及歌手法蒂赫·埃尔科奇和穆斯卢姆·古尔塞斯。
Then Whirling Dervishes took to the stage.,随后，旋转托钵僧登上了舞台。,然后旋转的达吉斯坦舞者登上了舞台。
Turkish diva Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou.,土耳其歌后塞泽·阿克苏与意大利男高音亚历山德罗·萨菲纳和希腊歌手哈里斯·阿莱克修同台演出。,土耳其著名女高音歌手塞泽·阿克斯乌与意大利男高音歌手亚历山德罗·萨菲纳和希腊歌手哈里斯·亚历克修斯同台演出。
