src,ref,hyp
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",星期一，史丹福大學醫學院嘅科學家宣佈，佢哋發明咗一種可以對細胞進行分類嘅新診斷工具：用標準噴墨打印機製造嘅微型可打印晶片，每塊晶片嘅價格大概係 1 美仙。,個禮拜一，史丹福大學醫學院嘅科學家宣佈發明咗一個新嘅診斷工具，可以按細胞類型分類：一嚿細小嘅可印製嘅芯片，可以用標準噴墨印表機製造，可能每嚿大概得美國一美分左右。
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",首席研究員表示，研究結果可能會令低收入國家嘅患者及早發現癌症、肺結核、愛滋病同瘧疾。喺呢啲國家，乳癌等疾病嘅生存率可能只有富裕國家嘅一半。,專家話呢個可能會令到貧窮國家嘅病人可以早啲發現癌症、肺結核、HIV同埋疟疾，而呢啲疾病嘅存活率可以係富裕國家嘅一半。
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",當地時間上午九點半左右（UTC 0230），JAS 39C 鷹獅戰機喺跑道上墜毀爆炸，導致機場關閉，商業航班冇辦法升降。,吖斯39C龍捲風喺大約上午九點半本地時間（UTC+2）撞落一條跑道並爆炸，令機場暫停商業航班。
The pilot was identified as Squadron Leader Dilokrit Pattavee.,確認涉事機師係空軍少校迪羅基列·帕達維。,飛行員被識別為中隊長迪羅克立特巴達維。
Local media reports an airport fire vehicle rolled over while responding.,當地媒體報導，一部機場消防車喺行動中翻側。,地區媒體報導一架機場消防車喺應援期間翻車。
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28歲嘅維達爾喺三個賽季前由塞爾維亞加盟巴塞。,廿八歲嘅維達三年前已經由西維爾加入巴塞隆拿。
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",自從轉會到加泰羅尼亞首府，維達爾已經幫俱樂部踢咗49場比賽。,自搬去加泰羅尼亞首都之後，維達已為呢間會隊打過四十九場波。
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",當地時間11點（標準時間 UTC+1 ）左右抗議活動喺白廳開始，對面有警察把守首相官邸唐寧街嘅入口。,喺白廈對面唐樓警衛嚟嘅入口，喺粵語時間十一點（UTC+1）左右開始咗抗議。
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",啱啱過咗11點，抗議人士封鎖咗白廳北行車道嘅交通。,十一點即刻，示威者喺白廳北行軌道嗰度封路。
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",11點20分，警方要求抗議人士返回人行道，話佢哋需要喺抗議權同交通擠塞之間取得平衡。,十一點二十，警隊要求示威者退回路邊，話佢哋要平衡抗議權同交通擠塞。
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",11點29分左右，抗議人士沿住白廳經過特拉法加廣場、斯特蘭德（ Strand ）、奥德维奇（ Aldwych ）、金斯威（ Kingsway ）走去霍本（ Holborn ），保守黨喺干諾大酒店（ Grand Connaught Rooms ）舉行春季論壇。,約十一點廿九，抗議隊伍經過白廳、特拉法加廣場、史特拉登，過了奧爾德威治，沿著金斯華路，前往康本頓，因為保守黨喺大康諾特酒店舉行春節論壇。
Nadal's head to head record against the Canadian is 7–2.,拿度對加拿大嘅頭球記錄為7比2。,拿度對加拿大的對賽成績係七比二。
He recently lost against Raonic in the Brisbane Open.,佢最近喺布里斯班公開賽輸畀拉奧尼治。,佢最近喺布里斯本公開賽輸咗俾羅尼奇。
Nadal bagged 88% net points in the match winning 76 points in the first serve.,拿度喺比賽入面嘅網前得分係88%，喺首個發球局贏得76分。,拿度贏咗比賽，第一發贏咗76分，攞咗88%嘅淨分。
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",紅土之王喺賽後表示：“我好高興可以殺入最重要賽事嘅最後一輪。我嚟呢度就係為咗贏呢場嘅勝利。,打完比賽，黏土之王話：「我喺最緊要比賽嘅最後幾輪返嚟，好興奮，我嚟呢度試下贏呢場。」
"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",「巴拿馬文件」係巴拿馬莫薩克-馮塞卡律師事務所喺2016年春天洩露畀傳媒約一千萬份文件嘅總稱。,「巴拿馬文件」係一個廣泛用語，指來自巴拿馬律師行 Mossack Fonseca 大約一千万份文件，喺二零一六年春天泄露畀傳媒。
The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,文件顯示，十四間銀行協助富裕客戶隱藏幾十億美元嘅財富，嚟到逃稅同其他規管。,文件顯示有十四間銀行幫富豪客戶藏匿十億美元財富以避稅及其他規管。
British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,"英國報章《衛報》指出，用嚟達到呢個目的嘅空殼公司達 1,200 間，而德意志銀行控制咗其中大約三分之一。",英國報紙《衛報》建議德意志銀行控制咗大概三分之一嘅1200間空殼公司嚟完成呢單嘢。
"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",呢件事引起咗世界各地嘅抗議活動、多宗刑事起訴，同埋冰島同巴基斯坦政府嘅領導人辭職。,世界各地都有抗議，發生咗幾單罪案檢控，冰島同巴基斯坦政府領袖都辭咗職。
"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",馬英九喺香港出世，曾經喺紐約大學同哈佛大學法學院就讀，曾擁有美國永久居民 「綠卡」身份。,香港出世，馬喺紐約大學同哈佛法學院讀書，過去曾經擁有一張美國永久居民「綠卡」。
Hsieh implied during the election that Ma might flee the country during a time of crisis.,謝長廷喺選舉期間暗示馬英九可能會喺台灣遇上危機嘅時候逃離台灣。,許諾在選舉期間暗示馬可能在危機時期逃離國家。
Hsieh also argued that the photogenic Ma was more style than substance.,謝長廷仲認為，上鏡嘅馬英九只有外表而冇內涵。,許亦認為，上鏡嘅馬嘅風格多過實質。
"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",雖然備受呢啲指責，但係馬英九依然喺一個主張同中國大陸建立更緊密聯繫嘅平台上輕鬆勝出。,喺呢啲指控之下，馬喺一個主張緊密聯繫中國大陸嘅平台上輕鬆贏咗。
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,今日嘅最佳選手係華盛頓首都嘅亞歷克斯·奧韋奇金。,今日嘅每日最佳球員係華盛頓首都隊嘅奧維琴。
He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,喺華盛頓5比3戰勝亞特蘭大鶇鳥隊嘅比賽入面，佢貢獻咗2個入球同2次助攻。,佢喺華盛頓對亞特蘭大獵犬嘅比賽入面有兩個入波同兩次助攻，贏咗5-3。
Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,奧韋奇金嗰晚嘅第一個助攻係嚟自新秀巴克斯壯嘅制勝一球；,歐維奇金今晚嘅第一次助攻係喺新秀尼克拉斯·巴科史東嘅比賽贏球入面。
